zcta,county,population,households,median_hh_income,pct_ba_plus,pct_asian_nh,pct_hispanic,median_age,log_density,owner_occupied_pct,avg_vehicles_per_hh,pct_hh_with_kids,pop_density_per_sqkm,total_vehicles_dmv,bev_pct,hev_pct,phev_pct,pct_new_BEV,avg_vehicle_age,home_charging_proxy,nearest_dcfast_km
93263,Kern,23423.0,6195.0,66774.0,11.1,1.2,79.5,28.1,4.601162164590552,63.45,2.07,56.6,99.6,19755.0,2.15,3.45,0.75,8.67,6.99,60.31,1.79
93265,Tulare,3532.0,1287.0,103672.0,42.6,5.8,22.2,39.8,1.2809338454620642,94.25,2.51,26.7,3.6,3752.0,1.6,4.0,1.01,6.67,7.17,90.68,21.31
93266,Kings,1672.0,358.0,60888.0,3.0,0.0,74.5,26.7,2.4423470353692043,54.47,2.66,53.6,11.5,1188.0,0.42,2.69,0.59,1.85,8.04,49.72,16.43
93267,Tulare,5879.0,1506.0,44786.0,5.4,0.3,77.1,29.1,3.4242626545931514,63.35,2.52,59.8,30.7,4741.0,0.53,2.07,0.51,2.86,7.93,50.4,6.17
93268,Kern,16956.0,5724.0,55473.0,8.8,0.3,43.9,31.3,5.07829394257007,49.06,1.63,38.5,160.5,11442.0,0.52,2.27,0.38,2.26,7.76,39.66,22.94
93270,Tulare,5703.0,1604.0,76795.0,5.8,0.6,64.0,37.2,3.56953269648137,67.21,2.8,40.5,35.5,4789.0,0.67,1.86,0.4,5.53,7.95,46.51,13.79
93271,Tulare,2218.0,1106.0,83810.0,54.5,4.5,15.1,53.2,0.7884573603642703,68.63,1.98,29.6,2.2,1849.0,2.06,8.49,1.14,11.9,7.59,67.81,40.09
93272,Tulare,4359.0,1073.0,58564.0,5.1,0.0,86.7,27.1,2.990719731730447,32.9,2.67,63.3,19.9,3110.0,0.55,1.54,0.13,2.49,7.79,30.94,14.59
93274,Tulare,79154.0,23127.0,69905.0,10.9,2.5,63.7,29.7,4.95723451736914,57.61,2.15,48.9,142.2,58714.0,1.27,3.09,0.55,5.87,7.43,54.9,3.54
93276,Kern,175.0,60.0,,13.9,0.0,9.1,36.6,4.220977213155467,65.0,1.44,30.0,68.1,190.0,0.0,1.58,0.0,0.0,7.91,50.0,6.65
93277,Tulare,53406.0,18347.0,79532.0,23.1,3.9,48.2,35.2,6.2482362794021755,60.54,2.05,38.8,517.1,36555.0,1.69,4.66,0.67,7.72,7.44,57.31,0.21
93280,Kern,27266.0,6299.0,55060.0,7.9,0.8,86.4,30.5,3.487375077903208,58.68,2.03,50.8,32.7,16898.0,0.77,2.28,0.56,4.19,7.77,56.09,11.72
93283,Kern,2129.0,992.0,33100.0,6.7,0.0,10.7,57.4,1.3862943611198906,82.06,1.82,24.9,4.0,1532.0,0.59,3.66,0.52,3.12,8.16,26.51,39.73
93285,Kern,2415.0,1357.0,39844.0,12.6,0.0,18.8,59.7,2.9231615807191558,73.18,1.62,6.4,18.6,2067.0,0.82,3.68,0.73,5.26,7.92,29.99,49.56
93286,Tulare,10516.0,2987.0,47242.0,11.7,0.8,78.7,32.3,3.86702563949741,53.2,2.03,45.9,47.8,7711.0,0.71,2.7,0.53,4.71,7.78,50.28,21.54
93287,Kern,134.0,60.0,70625.0,0.0,0.0,22.4,48.5,-0.10536051565782628,98.33,2.3,11.7,0.9,157.0,0.64,2.55,0.64,0.0,7.92,68.33,32.25
93291,Tulare,63049.0,19017.0,81502.0,23.8,9.2,52.7,32.7,5.651084685655752,59.59,2.09,46.1,284.6,48275.0,2.61,4.59,0.89,9.89,7.02,57.05,3.66
93292,Tulare,45523.0,14331.0,80784.0,18.2,2.8,56.5,32.6,5.073923033332174,62.24,2.14,41.0,159.8,34579.0,1.52,4.5,0.72,6.29,7.25,60.11,7.39
93301,Kern,14026.0,5730.0,40725.0,19.7,1.5,45.0,34.3,7.36486362024214,38.67,1.36,30.5,1579.5,13179.0,1.56,3.68,0.74,5.05,6.71,30.56,1.22
93304,Kern,51457.0,15599.0,51627.0,11.1,3.0,71.2,29.8,7.849596791700297,43.45,1.77,41.5,2564.7,29151.0,0.75,2.98,0.49,4.84,8.03,38.35,2.94
93305,Kern,36998.0,11224.0,41290.0,9.2,0.4,75.7,29.9,7.860262214989275,34.12,1.65,42.9,2592.2,19090.0,0.75,2.62,0.52,5.26,8.05,33.14,1.05
93306,Kern,73370.0,22238.0,66988.0,18.2,2.4,67.2,32.4,5.7551091018215415,63.32,1.99,44.7,315.8,49233.0,1.66,4.18,0.67,7.98,7.38,59.19,11.37
93307,Kern,88233.0,23128.0,52572.0,7.0,2.6,80.3,27.6,5.468903667123571,46.88,1.96,53.9,237.2,58220.0,0.76,2.48,0.39,4.75,7.74,43.4,10.37
93308,Kern,55788.0,20073.0,59511.0,17.7,2.5,32.1,36.6,4.220977213155467,49.16,1.71,31.5,68.1,39579.0,1.36,3.25,0.55,5.77,7.24,44.54,15.56
93309,Kern,63989.0,22286.0,62143.0,19.9,3.6,53.9,31.5,7.729867190823081,48.32,1.77,38.4,2275.3,38367.0,1.67,4.43,0.59,7.13,7.22,44.12,2.7
93311,Kern,52505.0,16778.0,117591.0,38.9,16.9,38.2,32.8,4.774912960575186,70.79,2.16,41.9,118.5,42337.0,4.78,6.47,1.22,14.26,6.47,70.37,10.63
93312,Kern,58265.0,18382.0,112654.0,34.0,6.0,32.6,34.6,7.302698559630719,78.22,2.23,42.8,1484.3,43588.0,2.75,5.56,1.0,9.83,6.8,77.15,2.48
93313,Kern,60331.0,16615.0,93396.0,21.5,13.1,57.1,31.7,5.462135451777431,77.72,2.32,51.4,235.6,49476.0,2.4,4.93,0.71,8.8,6.7,74.0,7.57
93314,Kern,34997.0,10980.0,127911.0,36.4,7.7,24.6,35.4,4.91705694713669,84.4,2.48,40.9,136.6,31762.0,3.44,5.06,1.08,10.57,6.46,81.58,9.36
93401,San Luis Obispo,29995.0,13460.0,95386.0,56.8,4.1,17.9,35.8,5.128121989551922,47.4,1.83,18.0,168.7,26952.0,6.56,8.39,2.2,22.24,7.06,40.44,1.79
93402,San Luis Obispo,15085.0,6232.0,103839.0,50.1,3.8,19.0,47.4,5.160777952525975,69.74,2.02,25.4,174.3,12727.0,4.28,8.4,2.05,19.77,7.74,62.61,2.41
93405,San Luis Obispo,23856.0,8558.0,52481.0,52.0,5.9,14.8,22.7,4.646312129319266,32.71,2.12,11.5,104.2,12362.0,6.11,9.46,2.18,20.16,7.08,28.03,5.75
93410,San Luis Obispo,7038.0,0.0,,24.4,16.8,22.9,19.2,11.07301486417384,,,0.0,64409.4,70.0,2.86,7.14,4.29,15.38,7.8,,1.42
93420,San Luis Obispo,32016.0,12642.0,106718.0,43.7,3.3,17.4,45.4,4.175924549214524,66.18,2.16,27.4,65.1,28359.0,4.2,7.32,1.76,15.93,7.31,56.46,12.65
93422,San Luis Obispo,33512.0,13106.0,89916.0,31.1,2.0,21.7,41.3,5.354224998486333,64.85,2.24,28.5,211.5,29042.0,3.3,6.2,1.14,15.37,7.6,59.06,3.26
93424,San Luis Obispo,1026.0,514.0,,77.6,0.0,9.5,59.5,4.821087692210561,81.32,1.92,0.0,124.1,1208.0,7.45,10.51,3.56,24.23,6.8,75.88,6.88
93426,Monterey,1509.0,547.0,103317.0,23.3,0.1,14.7,38.6,0.9555114450274363,68.56,2.55,24.7,2.6,1197.0,2.09,3.93,1.09,11.26,7.46,49.73,14.74
93428,San Luis Obispo,6269.0,2912.0,89225.0,43.8,1.1,28.9,60.7,3.4307561839036995,77.58,1.89,16.5,30.9,6179.0,3.82,8.35,2.06,17.09,7.45,76.61,29.8
93430,San Luis Obispo,3257.0,1590.0,86354.0,43.4,1.4,17.6,60.2,2.803360380906535,59.94,2.29,10.9,16.5,2750.0,4.15,7.27,1.64,18.68,7.47,53.08,15.59
93432,San Luis Obispo,1229.0,464.0,120200.0,46.0,0.5,14.1,55.4,1.6486586255873816,83.62,2.71,34.9,5.2,1631.0,2.39,4.23,1.16,10.11,7.48,53.66,17.37
93433,San Luis Obispo,12684.0,4973.0,82534.0,26.9,2.1,37.9,40.5,7.668888157333177,55.4,2.03,33.4,2140.7,10374.0,2.96,6.55,1.13,13.7,7.57,51.12,0.75
93442,San Luis Obispo,11336.0,5227.0,92163.0,45.3,4.7,12.8,53.2,4.547541073151455,61.05,1.84,16.0,94.4,9827.0,3.36,7.72,1.73,14.37,7.61,52.82,5.13
93444,San Luis Obispo,21495.0,7671.0,105655.0,34.3,3.1,44.1,44.0,4.787491742782046,73.97,2.34,30.6,120.0,21889.0,3.59,6.51,1.54,13.94,7.24,67.37,9.15
93445,San Luis Obispo,6812.0,2912.0,75012.0,17.9,0.9,43.6,46.0,4.921439715291784,60.58,2.06,25.8,137.2,5418.0,2.05,6.05,1.05,11.93,7.74,45.71,9.94
93446,San Luis Obispo,45859.0,17423.0,94512.0,30.0,2.7,30.3,41.3,3.728100167267218,68.36,2.15,30.7,41.6,41849.0,2.46,5.05,1.06,10.76,7.4,62.85,5.19
93449,San Luis Obispo,8024.0,4112.0,112913.0,50.1,3.1,11.7,55.5,5.589493328254074,67.05,1.95,12.3,267.6,7354.0,6.72,8.57,2.38,20.14,7.0,48.83,1.37
93450,Monterey,740.0,171.0,,6.9,0.0,70.0,25.4,0.47000362924573563,58.48,2.77,71.9,1.6,564.0,0.35,1.95,0.35,4.17,7.96,58.48,11.42
93451,Monterey,5007.0,1554.0,91250.0,24.3,0.7,55.1,35.7,1.33500106673234,65.12,2.41,36.2,3.8,4468.0,1.45,4.01,0.69,8.52,7.69,61.9,16.98
93452,San Luis Obispo,301.0,173.0,54705.0,4.1,0.0,62.1,59.3,0.0,40.46,1.88,0.0,1.0,558.0,2.33,6.09,0.0,18.97,7.97,11.56,40.49
93453,San Luis Obispo,2003.0,1027.0,70288.0,39.0,0.0,12.1,61.3,0.1823215567939546,56.09,1.91,6.9,1.2,2809.0,2.35,5.52,0.89,10.93,7.6,46.74,38.84
93461,San Luis Obispo,1353.0,443.0,88774.0,10.2,0.0,51.0,36.7,0.4054651081081644,82.84,2.69,30.5,1.5,1339.0,1.12,3.88,0.45,5.63,7.74,80.59,7.37
93465,San Luis Obispo,10248.0,3891.0,120843.0,47.2,1.2,15.8,46.5,3.8133070324889884,77.08,2.42,29.9,45.3,10556.0,3.72,5.49,1.36,15.58,7.28,73.12,3.07
93501,Kern,5944.0,2153.0,55372.0,6.9,1.0,47.5,37.4,2.631888840136646,45.29,1.91,28.8,13.9,3856.0,1.35,3.66,0.47,7.79,7.65,31.63,6.78
93505,Kern,14767.0,4647.0,55010.0,11.2,1.5,40.0,33.8,4.289088639014612,57.37,2.02,38.3,72.9,8398.0,1.81,4.51,0.7,6.95,7.3,55.22,20.61
93512,Mono,297.0,175.0,65158.0,19.0,0.0,6.1,54.2,-0.10536051565782628,85.71,2.28,6.9,0.9,241.0,0.0,2.49,1.24,0.0,7.01,21.71,44.72
93513,Inyo,1525.0,681.0,54485.0,18.7,0.9,14.5,48.0,-0.10536051565782628,76.36,1.83,22.9,0.9,1827.0,0.82,5.2,0.44,4.64,7.53,47.58,21.41
93514,Mono,14961.0,6022.0,81695.0,37.1,1.7,25.4,44.4,1.6486586255873816,72.38,2.02,21.4,5.2,14807.0,1.15,5.19,0.73,5.27,7.46,52.31,13.89
93516,Kern,2742.0,1022.0,71250.0,22.0,3.8,34.6,33.2,4.063885354737392,58.81,1.95,22.5,58.2,1390.0,2.01,3.88,0.65,9.95,7.12,50.29,3.67
93517,Mono,513.0,164.0,98882.0,16.9,2.7,34.9,27.9,-1.2039728043259361,92.68,2.25,15.2,0.3,1092.0,1.28,2.11,0.18,3.36,7.16,23.17,6.54
93518,Kern,1115.0,458.0,63095.0,36.5,0.4,11.2,51.7,0.3364722366212129,86.9,2.42,24.5,1.4,868.0,0.69,3.69,0.46,5.81,7.39,47.82,25.23
93519,Kern,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,57.0,1.75,3.51,0.0,0.0,6.54,,33.81
93522,Inyo,74.0,29.0,,8.1,0.0,0.0,63.6,-0.5108256237659907,100.0,4.5,0.0,0.6,49.0,0.0,2.04,2.04,,8.85,20.69,36.4
93523,Kern,3681.0,1296.0,66583.0,32.4,2.9,13.4,26.0,2.667228206581955,24.0,1.83,52.0,14.4,1361.0,4.78,5.8,1.32,19.59,6.83,18.83,20.79
